name,Image,dataCountry,country,continent,office,mandateStart,mandateEnd,headOfStateOrGovernment
Portia Simpson-Miller,,Jamaica,,North America,Prime Minister,30/03/2006,11/09/2007,Head of government
Michèle Pierre-Louis,,Haiti,,North America,Prime Minister,05/09/2008,11/11/2009,Head of government
Kamla Persad-Bissessar,,Trinidad and Tobago,,North America,Prime Minister,26/05/2010,09/09/2015,Head of government
Portia Simpson-Miller,,Jamaica,,North America,Prime Minister,05/01/2012,03/03/2016,Head of government
Florence Duperval Guillaume,,Haiti,,North America,Acting Prime Minister,20/12/2014,16/01/2015,Head of government
Dame Elmira Minita Gordon,,Belize,,North America,Governor-General,21/09/1981,17/11/1993,Head of state
Jeanne Sauvé,,Canada,,North America,Governor General,14/05/1984,29/01/1990,Head of state
Ertha Pascal-Trouillot,,Haiti,,North America,Acting President,13/03/1990,07/02/1991,Head of state
Dame Nita Barrow,,Barbados,,North America,Governor-General,06/06/1990,19/12/1995,Head of state
Dame Pearlette Louisy,,Saint Lucia,,North America,Governor-General,17/09/1997,31/12/2017,Head of state
Adrienne Clarkson,,Canada,,North America,Governor General,07/10/1999,27/09/2005,Head of state
Dame Ivy Dumont,,The Bahamas,,North America,Governor-General,11/11/2001,30/11/2005,Head of state
Monica Dacon,,Saint Vincent and the Grenadines,,North America,Acting Governor-General,03/06/2002,02/09/2002,Head of state
Michaëlle Jean,,Canada,,North America,Governor General,27/09/2005,01/10/2010,Head of state
Dame Louise Lake-Tack,,Antigua and Barbuda,,North America,Governor-General,17/07/2007,13/08/2014,Head of state
Sandra Mason,,Barbados,,North America,Acting Governor-General,30/05/2012,01/06/2012,Head of state
Dame Cécile La Grenade,,Grenada,,North America,Governor-General,07/05/2013,Incumbent,Head of state
Dame Marguerite Pindling,,The Bahamas,,North America,Governor-General,08/07/2014,Incumbent,Head of state
Julie Payette,,Canada,,North America,Governor General,02/10/2017,Incumbent,Head of state
Dame Sandra Mason,,Barbados,,North America,Governor-General,08/01/2018,Incumbent,Head of state
Paula-Mae Weekes,,Trinidad and Tobago,,North America,President,19/03/2018,Elect,Head of state
Violeta Chamorro,,Nicaragua,,North America,President,25/04/1990,10/01/1997,Head of state and government
Mireya Moscoso,,Panama,,North America,President,01/09/1999,01/09/2004,Head of state and government
Laura Chinchilla,,Costa Rica,,North America,President,08/05/2010,08/05/2014,Head of state and government
Jenny Shipley,,New Zealand,,Oceania,Prime Minister,05/12/1997,05/12/1999,Head of government
Helen Clark,,New Zealand,,Oceania,Prime Minister,05/12/1999,19/11/2008,Head of government
Julia Gillard,,Australia,,Oceania,Prime Minister,24/06/2010,27/06/2013,Head of government
Jacinda Ardern,,New Zealand,,Oceania,Prime Minister,26/10/2017,Incumbent,Head of government
Dame Catherine Tizard,,New Zealand,,Oceania,Governor-General,13/12/1990,21/03/1996,Head of state
Dame Sian Elias,,New Zealand,,Oceania,Administrator of the Government (Acting Governor-General),22/03/2001,04/04/2001,Head of state
Dame Silvia Cartwright,,New Zealand,,Oceania,Governor-General,04/04/2001,04/08/2006,Head of state
Dame Sian Elias,,New Zealand,,Oceania,Administrator of the Government (Acting Governor-General),04/08/2006,23/08/2006,Head of state
Dame Quentin Bryce,,Australia,,Oceania,Governor-General,05/09/2008,28/03/2014,Head of state
Dame Sian Elias,,New Zealand,,Oceania,Administrator of the Government (Acting Governor-General),23/08/2011,31/08/2011,Head of state
Dame Sian Elias,,New Zealand,,Oceania,Administrator of the Government (Acting Governor-General),31/08/2016,28/09/2016,Head of state
Dame Patsy Reddy,,New Zealand,,Oceania,Governor-General,28/09/2016,Incumbent,Head of state
Hilda Heine,,Marshall Islands,,Oceania,President,28/01/2016,Incumbent,Head of state and government
Janet Jagan,,Guyana,,South America,Prime Minister,17/03/1997,22/12/1997,*
Beatriz Merino,,Peru,,South America,Prime Minister,28/06/2003,15/12/2003,*
